0.48	0.125988	1.09103e-05	0.874012	1.09103e-05	0.5	0.647819	0.580406	5.02621e-05	-0.580406	5.02621e-05	-1.83187e-17	-1.00524	
0.49	0.131882	1.14208e-05	0.868118	1.14208e-05	0.5	0.63761	0.598564	5.18345e-05	-0.598564	5.18345e-05	-2.01691e-17	-1.03669	
0.5	0.137961	1.19472e-05	0.862039	1.19472e-05	0.5	0.627082	0.617321	5.34589e-05	-0.617321	5.34589e-05	-2.16493e-17	-1.06918	
0.51	0.144231	1.24901e-05	0.855769	1.24901e-05	0.5	0.616223	0.63673	5.51397e-05	-0.63673	5.51397e-05	-2.34997e-17	-1.10279	
0.52	0.150698	1.30502e-05	0.849302	1.30502e-05	0.5	0.605022	0.656847	5.68817e-05	-0.656847	5.68817e-05	-2.51651e-17	-1.13763	
0.53	0.15737	1.3628e-05	0.84263	1.3628e-05	0.5	0.593466	0.677734	5.86906e-05	-0.677734	5.86906e-05	-2.70154e-17	-1.17381	
0.54	0.164255	1.42242e-05	0.835745	1.42242e-05	0.5	0.581541	0.699465	6.05725e-05	-0.699465	6.05725e-05	-2.88658e-17	-1.21145	
0.55	0.171363	1.48397e-05	0.828637	1.48397e-05	0.5	0.569232	0.722122	6.25344e-05	-0.722122	6.25344e-05	-3.03461e-17	-1.25069	
0.56	0.178701	1.54752e-05	0.821299	1.54752e-05	0.5	0.556521	0.745796	6.45846e-05	-0.745796	6.45846e-05	-3.14563e-17	-1.29169	
0.57	0.186282	1.61317e-05	0.813718	1.61317e-05	0.5	0.543391	0.770596	6.67323e-05	-0.770596	6.67323e-05	-3.33067e-17	-1.33465	
0.58	0.194117	1.68102e-05	0.805883	1.68102e-05	0.5	0.529821	0.796646	6.89882e-05	-0.796646	6.89882e-05	-3.4787e-17	-1.37976	
0.59	0.20222	1.75119e-05	0.79778	1.75119e-05	0.5	0.515788	0.82409	7.13647e-05	-0.82409	7.13647e-05	-3.55271e-17	-1.42729	
